Group,Value
A,74.96714153011233
A,68.61735698828815
A,76.47688538100692
A,85.23029856408026
A,67.65846625276664
A,67.6586304305082
A,85.79212815507391
A,77.67434729152909
A,65.30525614065049
A,75.42560043585965
A,65.36582307187538
A,65.34270246429743
A,72.41962271566034
A,50.86719755342202
A,52.75082167486967
A,64.37712470759027
A,59.87168879665576
A,73.14247332595274
A,60.91975924478789
A,55.87696298664709
A,84.65648768921554
A,67.74223699513465
A,70.67528204687923
A,55.75251813786544
A,64.55617275474818
A,71.10922589709867
A,58.490064225776976
A,73.75698018345672
A,63.99361310081195
A,67.08306250206724
A,63.98293387770603
A,88.52278184508938
A,69.86502775262066
A,59.422890710440996
A,78.22544912103189
A,57.791563500289776
A,72.08863595004756
A,50.403298761202244
A,56.71813951101569
A,71.96861235869123
A,77.3846657999541
A,71.7136828118997
A,68.8435171761176
A,66.98896304410711
A,55.214780096325725
A,62.801557916052914
A,65.39361229040213
A,80.57122226218915
A,73.43618289568461
A,52.36959844637266
A,73.24083969394795
A,66.14917719583684
A,63.23077999694041
A,76.11676288840867
A,80.30999522495951
A,79.31280119116198
A,61.607824767773614
A,66.90787624148786
A,73.31263431403563
A,79.75545127122359
A,65.2082576215471
A,68.14341023336183
A,58.93665025993972
A,58.037933759193294
A,78.12525822394198
A,83.56240028570824
A,69.27989878419666
A,80.03532897892023
A,73.61636025047635
A,63.54880245394876
A,73.61395605508415
A,85.38036566465969
A,69.64173960890048
A,85.64643655814007
A,43.80254895910255
A,78.21902504375224
A,70.87047068238171
A,67.00992649534132
A,70.91760776535503
A,50.124310853991076
A,67.80328112162488
A,73.57112571511746
A,84.77894044741517
A,64.81729781726352
A,61.91506397106812
A,64.98242956415463
A,79.15402117702074
A,73.28751109659684
A,64.70239796232961
A,75.13267433113356
A,70.9707754934804
A,79.68644990532889
A,62.979469061226474
A,66.72337853402232
A,66.07891846867842
A,55.364850518678814
A,72.96120277064576
A,72.6105527217989
A,70.05113456642461
A,67.65412866624852
B,58.015551095395026
B,69.9522561268157
B,70.88742580167877
B,65.37267276934057
B,73.0645714600079
B,79.84861028177446
B,97.63423081452636
B,77.09493375398206
B,78.09060468867317
B,74.106649010806
B,51.9747454164115
B,74.68183349460939
B,75.72276251929232
B,104.55890534982343
B,72.69166842262653
B,78.61856810800334
B,74.58345876353708
B,60.97586354856561
B,88.71387377418024
B,84.02319639224129
B,84.49238336451657
B,64.08735054246313
B,91.8335317312332
B,58.17778724649263
B,82.04228512560324
B,101.28546750971975
B,63.11356409843174
B,68.20442724476673
B,76.1958163810517
B,68.95829215060562
B,56.392038827206406
B,75.82275569767233
B,62.252355435286745
B,80.68310916762218
B,63.96690918919436
B,93.59921286021047
B,65.60096049196515
B,71.1352618055319
B,84.76220660843603
B,60.22962820279254
B,77.72951921524955
B,90.68571305138914
B,55.71020118526527
B,77.21560630238766
B,78.11859353098109
B,84.38187446132773
B,60.15659146946302
B,59.154520642988686
B,81.26329878740277
B,78.56381607879823
B,78.00591420415051
B,79.1573785139637
B,66.83970334105811
B,77.78704436593205
B,78.51686967958418
B,66.42778298368358
B,97.38929413373708
B,80.68599505094144
B,60.70435803356821
B,82.87864330360595
B,63.30381995727214
B,84.44501524490943
B,88.90314694808885
B,65.15181217977947
B,86.56051355093186
B,79.95337112323799
B,84.86472191993388
B,97.76151579184737
B,72.05534260796556
B,65.95516602771012
B,64.32582684449372
B,65.21027658041474
B,74.07477948703075
B,79.09382369779972
B,78.32028959196023
B,84.92619898843229
B,75.15602270253488
B,92.4424089258878
B,71.82411800114453
B,107.64202999907542
B,82.50800817318007
B,64.7141093230046
B,62.14929002326665
B,80.78966898291823
B,72.31844657608978
B,83.5680059291051
B,80.67885149488254
B,74.12605304811753
B,64.83847538317914
B,56.82183330376962
B,69.64182057519575
B,85.27678553188167
B,77.56912492956245
B,60.051134655456146
B,77.07817111021419
B,79.62380855674604
B,64.3937107655864
B,76.84470127134634
B,75.698504621352
B,61.284356426032524
